Breaker Left,Breaker Right,Go First,Winner,Competition,City,Country,Year,Month,Day,Bracket Size,Bracket Stage,Remaining Contestants,Video Link,Battle Rounds,System,Number Judges,Judge 1,Judge 1 Vote,Judge 2,Judge 2 Vote,Judge 3,Judge 3 Vote,Judge 4,Judge 4 Vote,Judge 5,Judge 5 Vote,Judge 6,Judge 6 Vote,Judge 7,Judge 7 Vote,Tiebreaker J1,Tiebreaker J2,Tiebreaker J3,Tiebreaker J4,Tiebreaker J5,Tiebreaker J6,Tiebreaker J7,R1J1,R1J2,R1J3,R1J4,R1J5,R1J6,R1J7,R2J1,R2J2,R2J3,R2J4,R2J5,R2J6,R2J7,R3J1,R3J2,R3J3,R3J4,R3J5,R3J6,R3J7,R4J1,R4J2,R4J3,R4J4,R4J5,R4J6,R4J7,R5J1,R5J2,R5J3,R5J4,R5J5,R5J6,R5J7
Deeogo,Nasty,Nasty,Deeogo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=G9cU7R998WI,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Deeogo,Nasty,Deeogo,Deeogo,Nasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Lorenzo,Daniel,Lorenzo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=1I6bKpaJ8lo,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Lorenzo,Daniel,Lorenzo,Lorenzo,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal,Bruce Almighty,Jamal,Jamal,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=PWt2xe2gvzw,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Jamal,Jamal,Jamal,Jamal,Bruce Almighty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xak,Tirock,Tirock,Xak,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=pq6IktaoOg0,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Xak,Xak,Tirock,Xak,Xak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosto,Lagaet,Kosto,Kosto,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=fjDxRH_afBo,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Kosto,Kosto,Kosto,Kosto,Kosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twister,Tawfiq,Tawfiq,Twister,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=b4Zd2do16gs,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Twister,Twister,Tawfiq,Twister,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal,Senju,Jamal,Jamal,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=dyHnHW0hP_M,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Jamal,Jamal,Jamal,Jamal,Jamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Almighty,Beat TYH,Beat TYH,Bruce Almighty,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=5jmaFQlf70c,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Bruce Almighty,Bruce Almighty,Bruce Almighty,Bruce Almighty,Bruce Almighty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volodya,El Prcinho,El Prcinho,Volodya,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=IUWQLkEOUfw,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Volodya,Volodya,Volodya,El Prcinho,El Prcinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunde,Lucky,Tunde,Tunde,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=Z2YYN_6hrU0,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Tunde,Lucky,Tunde,Tunde,Lucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The R,Hatsolo,Hatsolo,Hatsolo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=QRnPif0Ldu8,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Hatsolo,Hatsolo,The R,Hatsolo,Hatsolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Jerry,Said,Said,Said,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=AQtUK1x8GXk,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Wild Jerry,Serhat,Serhat,Serhat,Wild Jerry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeogo,Snap,Snap,Deeogo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=B0goDdxwofU,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Snap,Deeogo,Deeogo,Snap,Deeogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasty,Mons,Mons,Nasty,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=8wK98Zivfzg,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Nasty,Mons,Nasty,Nasty,Nasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skelet,Kosto,Kosto,Kosto,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=ufJpKPv06Vs,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Kosto,Kosto,Kosto,Kosto,Kosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Jester,Daniel,Daniel,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=kxWzn2w01wc,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Daniel,Daniel,Admir,Daniel,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slick Nick,Lagaet,Slick Nick,Lagaet,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=vipJD6NXKSQ,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Lagaet,Lagaet,Lagaet,Lagaet,Lagaet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo,Exaggerate,Exaggerate,Lorenzo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=SZZ1_dX3LLg,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Lorenzo,Lorenzo,Lorenzo,Lorenzo,Exaggerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanco,Xak,Blanco,Xak,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=J4ac3y5XiBI,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Xak,Xak,Xak,Blanco,Xak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twister,Double D,Double D,Twister,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=7uixOROvOV0,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Twister,Double D,Twister,Twister,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilio,Tirock,Emilio,Tirock,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=VJRO9A3DtOs,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Tirock,Tirock,Tirock,Tirock,Tirock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lele,Tawfiq,Lele,Tawfiq,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,1,32,youtube.com/watch?v=qR-eAJO1gIs,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Tawfiq,Tawfiq,Lele,Tawfiq,Lele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vavi,Kastet,Vavi,Kastet,WDSF European Breaking Championship BGirl,Sochi,Russia,2021,6,26,,,,youtube.com/watch?v=DRZ1nIsMTa0,3,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Kastet,Kastet,Vavi,Kastet,Kastet,,,Kastet,Kastet,Kastet,Kastet,Kastet,,,Kastet,Kastet,Kastet,Kastet,Kastet,,,,,,,,,,,,,,,,
Madmax,Paulina,Paulina,Madmax,WDSF European Breaking Championship BGirl,Sochi,Russia,2021,6,26,,,,youtube.com/watch?v=GuhcnlY2_rk,3,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Madmax,Madmax,Madmax,Madmax,Madmax,,,Madmax,Madmax,Paulina,Madmax,Madmax,,,Madmax,Paulina,Paulina,Madmax,Madmax,,,,,,,,,,,,,,,,
Kosto,Jamal,Kosto,Kosto,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,4,2,,3,Traditional,3,Robin,Kosto,Uzee Rock,Kosto,Alkolil,Jamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal,Beetle,Beetle,Jamal,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,3,4,,2,Traditional,3,Robin,Jamal,Uzee Rock,Tie,Alkolil,Jamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosto,Mey,Kosto,Kosto,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,3,4,,2,Traditional,3,Robin,Kosto,Uzee Rock,Kosto,Alkolil,Kosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alik,Jamal,Alik,Jamal,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,2,8,,2,Traditional,3,Robin,Jamal,Uzee Rock,Jamal,Alkolil,Alik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetle,Fastfoot,Fastfoot,Beetle,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,2,8,,2 + tiebreaker,Traditional,3,Robin,Fastfoot,Uzee Rock,Tie,Alkolil,Beetle,,,,,,,,,Beetle,Fastfoot,Beetle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastmass,Kosto,Kosto,Kosto,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,2,8,,2,Traditional,3,Robin,Kosto,Uzee Rock,Kosto,Alkolil,Kosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvel,Mey,Marvel,Mey,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,2,8,,2,Traditional,3,Robin,Marvel,Uzee Rock,Mey,Alkolil,Mey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alik,Shorty Fingerz,Shorty Fingerz,Alik,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Alik,Uzee Rock,Alik,Alkolil,Alik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal,Disa,Disa,Jamal,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Jamal,Uzee Rock,Jamal,Alkolil,Jamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruslan Footrockets,Beetle,Beetle,Beetle,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Beetle,Uzee Rock,Tie,Alkolil,Beetle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastfoot,Voltaren,Voltaren,Fastfoot,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Fastfoot,Uzee Rock,Fastfoot,Alkolil,Fastfoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastmass,Milky (Russia),Milky (Russia),Plastmass,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Plastmass,Uzee Rock,Plastmass,Alkolil,Milky (Russia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosto,Mongol,Kosto,Kosto,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Kosto,Uzee Rock,Kosto,Alkolil,Kosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvel,Ralfinio,Marvel,Marvel,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Tie,Uzee Rock,Marvel,Alkolil,Marvel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kap,Mey,Mey,Mey,Red Bull BC One Russia B-Boy Cypher,Moscow,Russia,2021,6,13,16,1,16,,2,Traditional,3,Robin,Mey,Uzee Rock,Kap,Alkolil,Mey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art,Vavi,Vavi,Vavi,Red Bull BC One Russia B-Girl Cypher,Moscow,Russia,2021,6,13,8,3,2,,3 + tiebreaker,Traditional,3,Robin,Tie,Uzee Rock,Art,Zip Rock,Vavi,,,,,,,,,Vavi,Vavi,Vavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata (Russia),Art,Tata (Russia),Art,Red Bull BC One Russia B-Girl Cypher,Moscow,Russia,2021,6,13,8,2,4,,2,Traditional,3,Robin,Art,Uzee Rock,Art,Zip Rock,Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kachelya,Vavi,Vavi,Vavi,Red Bull BC One Russia B-Girl Cypher,Moscow,Russia,2021,6,13,8,2,4,,2,Traditional,3,Robin,Vavi,Uzee Rock,Vavi,Zip Rock,Vavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yara,Tata (Russia),Yara,Tata (Russia),Red Bull BC One Russia B-Girl Cypher,Moscow,Russia,2021,6,13,8,1,8,,2,Traditional,3,Robin,Tata (Russia),Uzee Rock,Tie,Zip Rock,Tie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art,Nastya BMT,Art,Art,Red Bull BC One Russia B-Girl Cypher,Moscow,Russia,2021,6,13,8,1,8,,2,Traditional,3,Robin,Art,Uzee Rock,Nastya BMT,Zip Rock,Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristina,Kachelya,Kachelya,Kachelya,Red Bull BC One Russia B-Girl Cypher,Moscow,Russia,2021,6,13,8,1,8,,2,Traditional,3,Robin,Kristina,Uzee Rock,Kachelya,Zip Rock,Kachelya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vavi,Ari,Ari,Vavi,Red Bull BC One Russia B-Girl Cypher,Moscow,Russia,2021,6,13,8,1,8,,2,Traditional,3,Robin,Vavi,Uzee Rock,Vavi,Zip Rock,Vavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity,Zeku,Zeku,Zeku,Space City Classic BBoy,Houston,United States,2021,2,27,8,3,2,youtube.com/watch?v=iuWCCuvM_Kc&t=9280s,4.5,Traditional,5,Flea Rock,,Ronnie,,Flo Master,,Lil John,,Jeskilz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity,Palmer,Gravity,Gravity,Space City Classic BBoy,Houston,United States,2021,2,27,8,2,4,youtube.com/watch?v=iuWCCuvM_Kc&t=6565s,3,Traditional,5,Flea Rock,Gravity,Ronnie,Gravity,Flo Master,Gravity,Lil John,Gravity,Jeskilz,Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Nino,Zeku,Zeku,Zeku,Space City Classic BBoy,Houston,United States,2021,2,27,8,2,4,youtube.com/watch?v=iuWCCuvM_Kc&t=6195s,3,Traditional,5,Flea Rock,Zeku,Ronnie,Zeku,Flo Master,Zeku,Lil John,Zeku,Jeskilz,Zeku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matita,Gravity,Gravity,Gravity,Space City Classic BBoy,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=4722s,3,Traditional,5,Flea Rock,Gravity,Ronnie,Gravity,Flo Master,Gravity,Lil John,Gravity,Jeskilz,Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmer,Scumbag Jose,Scumbag Jose,Palmer,Space City Classic BBoy,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=4320s,3,Traditional,5,Flea Rock,Palmer,Ronnie,Scumbag Jose,Flo Master,Scumbag Jose,Lil John,Palmer,Jeskilz,Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffro,El Nino,Jeffro,El Nino,Space City Classic BBoy,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=3970s,3,Traditional,5,Flea Rock,El Nino,Ronnie,El Nino,Flo Master,Jeffro,Lil John,El Nino,Jeskilz,Jeffro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor,Zeku,Zeku,Zeku,Space City Classic BBoy,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=3600s,3,Traditional,5,Flea Rock,Zeku,Ronnie,Victor,Flo Master,Zeku,Lil John,Zeku,Jeskilz,Zeku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilou,Kate,Jilou,Kate,Space City Classic BGirl,Houston,United States,2021,2,27,8,3,2,youtube.com/watch?v=iuWCCuvM_Kc&t=7505s,5,Traditional,5,Flea Rock,,Ronnie,,Flo Master,,Lil John,,Jeskilz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunny,Jilou,Jilou,Jilou,Space City Classic BGirl,Houston,United States,2021,2,27,8,2,4,youtube.com/watch?v=iuWCCuvM_Kc&t=5763s,3,Traditional,5,Flea Rock,Jilou,Ronnie,Jilou,Flo Master,Jilou,Lil John,Jilou,Jeskilz,Jilou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonda,Kate,Kate,Kate,Space City Classic BGirl,Houston,United States,2021,2,27,8,2,4,youtube.com/watch?v=iuWCCuvM_Kc&t=5438s,3,Traditional,5,Flea Rock,Kate,Ronnie,Kate,Flo Master,Kate,Lil John,Kate,Jeskilz,Kate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pep-C,Sunny,Pep-C,Sunny,Space City Classic BGirl,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=2591s,3,Traditional,5,Flea Rock,Pep-C,Ronnie,Sunny,Flo Master,Sunny,Lil John,Sunny,Jeskilz,Pep-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilou,Rascal Randi,Jilou,Jilou,Space City Classic BGirl,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=2165s,3,Traditional,5,Flea Rock,Jilou,Ronnie,Jilou,Flo Master,Rascal Randi,Lil John,Jilou,Jeskilz,Jilou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonda,Lady Jules,Wonda,Wonda,Space City Classic BGirl,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=1800s,3,Traditional,5,Flea Rock,Wonda,Ronnie,Wonda,Flo Master,Wonda,Lil John,Wonda,Jeskilz,Wonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate,Macca,Kate,Kate,Space City Classic BGirl,Houston,United States,2021,2,27,8,1,8,youtube.com/watch?v=iuWCCuvM_Kc&t=1485s,3,Traditional,5,Flea Rock,Kate,Ronnie,Kate,Flo Master,Kate,Lil John,Kate,Jeskilz,Kate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shigekix,Alkolil,Shigekix,Shigekix,Red Bull BC One World BBoy Finals,Salzburg,Austria,2020,11,28,8,3,2,youtube.com/watch?v=jmLSoBxxyhc,3,Traditional,5,Movie One,Shigekix,Omar,Shigekix,Ayumi,Shigekix,Lilou,Shigekix,AT,Alkolil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
